"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139"
"France",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,14,28,31,40,37,52,82,134,144,234,266,356,385,488,626,739,849,991,1077,1237,1454,1627,1775,1674,2415,2614,3072,3100,3554,4114,3673,3862,4851,5605,4852,4070,3872,3791,3351,3187,3857,3981,4170,3914,3023,2467,3261,3601,3590,1893,1872,1253,1802,1834,2182,2049,1751,1654,1257,1064,907,1289,1270,1117,846,569,559,663,1954,1972,1818,568,428,366,458,557,612,564,519,436
"French_Polynesia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,5,3,3,2,2,2,3,2,2,1,1,0,1,1,1,1,2,3,3,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"Gabon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,3,4,4,2,1,1,0,3,4,8,5,5,4,4,9,10,13,11,7,5,4,16,19,16,5,3,3,13,21,33,22,23,20,20,20,21,35,46,74,74,52,61,67,114,101,115,105,109
"Gambia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,0,0,0,1,1,1,1,1,1,0,0,0,0
"Georgia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,2,3,1,2,4,4,3,2,2,2,1,1,1,2,3,5,5,6,7,6,6,4,4,4,6,8,8,8,13,14,18,13,13,12,10,13,10,13,13,19,16,25,23,27,15,11,7,7,8,12,13,20,18,18,10,14,24,22,17,4,7,7,7,6,5,7,5,5,4,10,10,16,17
"Germany",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,11,13,30,27,33,28,44,81,163,195,167,152,150,222,410,589,743,823,983,1120,1120,2709,3677,4422,3545,3675,3364,3911,4359,5676,5346,5003,4444,4940,5408,5928,6137,6064,5232,4482,3838,4270,4767,4810,4092,3164,2480,2368,2478,2911,3285,3149,2614,2006,1932,2125,2309,2248,2043,1603,1300,1155,1309,927,1354,1126,1352,719,800,972,1147,1218,1042,758,652,696,888,881,822,705,595
"Ghana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,2,2,3,5,4,4,11,15,35,28,24,7,5,4,14,17,18,6,3,27,24,33,30,30,32,63,63,76,25,25,2,64,134,134,69,37,37,79,42,132,90,131,40,175,134,166,32,215,183,307,124,431,391,391,229,288,382,277,170,109,101
"Gibraltar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,2,2,4,7,13,10,10,5,4,1,6,9,10,5,5,5,6,5,5,3,2,1,0,1,1,1,1,0,0,0,0,0,0,1,3,3,2,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"Greece",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,8,13,19,14,13,8,9,16,33,43,66,54,53,29,37,36,37,53,67,71,66,66,74,80,88,82,84,73,101,100,99,74,47,53,50,67,60,66,53,45,30,26,21,12,5,9,13,65,58,73,30,33,14,15,9,23,19,19,15,12,14,7,12,15,16,16,13,12,11,15,15,22,20,19
"Greenland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
